numeropol,marque_voiture,couleur_voiture,presence_alarme,license_plate
18430,RENAULT,Autre,0,UO3 905
18436,VOLKSWAGEN,Autre,0,ZR 6986
18437,BMW,Autre,0,SZ0 447
18454,MAZDA,Autre,1,RGN 298
18454,LANCIA,Autre,1,141 SNO
18456,HONDA,Autre,1,611337
18461,Autres,Autre,0,BO 4232
18461,RENAULT,Autre,0,CF8 17A
18463,NISSAN,Autre,1,NBX-0014
18466,MAZDA,Autre,0,UTD 937
18482,FIAT,Autre,0,86 74BC
18490,MERCEDES-B,Autre,0,H70 WSA
18492,VOLKSWAGEN,Autre,0,VGL51
18519,RENAULT,Autre,1,DUG 374
18526,AUDI,Autre,1,HJJ 924
18530,AUDI,Autre,1,106 897
18530,HYUNDAI,Autre,0,713 VQJ
18537,HONDA,Autre,0,HWPG 690
18540,RENAULT,Autre,0,UB 5045
18542,MITSUBISHI,Autre,0,XH3 91J
18547,TOYOTA,Autre,0,GR 4293
18549,VOLKSWAGEN,Autre,0,GVMG-956
18576,BMW,Rouge,1,BSS18
18597,VOLKSWAGEN,Autre,1,LXMF 186
18597,VOLKSWAGEN,Autre,0,MOS52
18600,GM,Autre,0,482105
18609,GM,Autre,0,ZRE-8003
18609,HONDA,Autre,0,808 FHH
18622,VOLKSWAGEN,Autre,1,094 2VH
18625,TOYOTA,Autre,0,38 66QN
18641,RENAULT,Autre,1,674633
18661,Autres,Autre,1,NHY 284
18662,FIAT,Rouge,0,REZB 933
18662,LANCIA,Rouge,0,15 92YY
18670,NISSAN,Autre,1,GVNP-101
18670,SUZUKI,Autre,1,WPO 582
18670,SUZUKI,Autre,0,DIJ-6595
18670,MITSUBISHI,Autre,0,GVLK-439
18675,RENAULT,Autre,1,EHS19
18684,GM,Autre,1,HFT 432
18701,VOLKSWAGEN,Rouge,1,BEK 650
18701,HONDA,Rouge,1,BGSL 795
18706,RENAULT,Rouge,1,PW3 47A
18707,VOLKSWAGEN,Autre,0,66 01VW
18720,HONDA,Autre,1,FYP 852
18720,PEUGEOT,Autre,1,GW 1108
18720,NISSAN,Autre,0,MJRG 291
18729,VOLKSWAGEN,Autre,0,HM 5740
18737,AUDI,Autre,1,FS1 517
18749,HONDA,Autre,1,KLWQ 306
18749,SEAT,Autre,1,BJ8 514
18775,FIAT,Autre,1,MHV-6308
18775,VOLVO,Autre,0,426 XUK
18784,ROVER,Autre,0,CX9 11E
18784,BMW,Autre,0,SMIH 810
18792,PEUGEOT,Autre,1,87 53KG
18792,VOLKSWAGEN,Autre,0,CQM 248
18799,BMW,Autre,0,ZJ3 674
18799,FORD,Autre,0,441 2HG
18814,RENAULT,Autre,0,RZ 8244
18824,RENAULT,Autre,0,RDC05
18824,ROVER,Autre,0,SWV63
18824,ALFA ROMEO,Autre,0,IFI 811
18834,FIAT,Autre,1,84 14QT
18834,SEAT,Autre,1,564114
18834,SEAT,Autre,0,11 80YC
18837,RENAULT,Autre,1,473091
18837,HONDA,Autre,1,Q12 VMA
18837,GM,Autre,0,191 VJZ
18841,GM,Autre,1,HN 0868
18841,MERCEDES-B,Autre,0,347 452
18843,BMW,Autre,0,TE0 79T
18845,LANCIA,Autre,0,WXR 623
18850,TOYOTA,Autre,0,GVNV-157
18859,TOYOTA,Autre,1,GVCC-176
18859,TOYOTA,Autre,0,UY7 074
18863,VOLKSWAGEN,Autre,0,ZI 3090
18864,HONDA,Autre,1,IL 2315
18873,Autres,Autre,1,STC18
18873,PEUGEOT,Autre,1,CT 6155
18873,VOLKSWAGEN,Autre,0,OTS 819
18882,HONDA,Autre,0,QQAN 627
18884,NISSAN,Autre,0,IUN 711
18884,HONDA,Autre,0,KBT 430
18895,VOLKSWAGEN,Autre,0,XFQ 949
18903,VOLKSWAGEN,Autre,1,TOY-3836
18903,GM,Autre,1,JZ8 74K
18916,SUZUKI,Autre,1,645 139
18939,MERCEDES-B,Autre,0,YRZ-7789
18939,BMW,Autre,0,ROK64
18950,PEUGEOT,Autre,1,XYG 304
18954,GM,Autre,1,VV2 027
18954,GM,Autre,0,KR 9029
19000,FIAT,Autre,1,048 2CK
19003,ALFA ROMEO,Autre,1,XDG-7678
19003,ALFA ROMEO,Autre,0,531 NYW
19007,FORD,Autre,0,YKK-8494
19007,ALFA ROMEO,Autre,1,569 8MQ
19007,RENAULT,Autre,1,UT4 217
19007,FIAT,Autre,0,MCI 325
19012,MAZDA,Autre,0,DFNJ 901
19025,PEUGEOT,Autre,1,PMP 813
19025,PEUGEOT,Autre,0,KDS 448
19036,RENAULT,Autre,1,US5 09Y
19061,FIAT,Autre,0,UIR 954
19061,ROVER,Autre,0,WH7 907
19062,PEUGEOT,Autre,1,LS 8407
19063,RENAULT,Rouge,1,11 34QX
19065,RENAULT,Autre,0,PH3 75F
19065,FORD,Autre,0,94 20BZ
19068,GM,Autre,1,820 379
19068,RENAULT,Autre,1,VMH 178
19069,RENAULT,Autre,1,GGC 469
19105,SEAT,Autre,1,016 UTR
19113,GM,Autre,0,18 01QZ
19113,TOYOTA,Autre,0,WNP 615
19116,HONDA,Autre,1,ET 2323
19126,AUDI,Autre,1,NLHA 423
19136,ALFA ROMEO,Autre,0,UTL 317
19137,RENAULT,Autre,1,47 40SR
19140,SEAT,Autre,1,GVNE-847
19140,FORD,Autre,1,DPO 500
19141,FORD,Autre,1,406 MSO
19141,PEUGEOT,Autre,1,TUW57
19150,SUZUKI,Autre,1,WIO 550
19154,TOYOTA,Autre,1,17 66IN
19170,HONDA,Autre,1,QZ 3393
19170,RENAULT,Autre,0,L64 CGN
19171,RENAULT,Autre,1,996478
19173,MAZDA,Autre,0,JEI09
19176,RENAULT,Autre,1,O07 VEI
19176,TOYOTA,Autre,1,EL 7778
19182,MAZDA,Autre,0,LXG-9191
19186,PEUGEOT,Autre,0,479 KRV
19191,NISSAN,Autre,1,378865
19191,GM,Autre,1,263734
19193,FIAT,Autre,0,916 728
19193,PEUGEOT,Autre,0,Y35 MMT
19196,MITSUBISHI,Autre,0,291 650
19208,RENAULT,Autre,1,KIW 341
19214,MITSUBISHI,Autre,0,JOM36
19232,RENAULT,Autre,1,467 0VW
19232,RENAULT,Autre,0,XFX30
19232,VOLKSWAGEN,Autre,1,KL 5071
19240,BMW,Autre,0,IPW 097
19253,TOYOTA,Rouge,0,359 KQT
19253,HONDA,Rouge,0,VSV-1229
19253,GM,Rouge,0,749 CIX
19263,VOLKSWAGEN,Autre,0,KX2 035
19268,Autres,Autre,0,GR8 222
19268,PEUGEOT,Autre,0,DS4 42W
19306,BMW,Autre,0,VE 4023
19316,FORD,Autre,1,A55 YXD
19317,HONDA,Autre,0,944 366
19319,HONDA,Autre,0,63 14TW
19333,NISSAN,Autre,1,476 500
19339,RENAULT,Autre,1,IIN 565
19344,PEUGEOT,Autre,1,908 4ZN
19363,VOLVO,Autre,1,751 112
19363,BMW,Autre,1,985 FMO
19373,AUDI,Autre,0,PTK-1137
19395,MERCEDES-B,Autre,0,VD0 185
19415,ALFA ROMEO,Autre,0,HMB 016
19417,SUZUKI,Autre,1,074 IGW
19430,AUDI,Autre,1,FL9 194
19437,VOLKSWAGEN,Autre,1,VW3 70K
19460,MAZDA,Autre,1,YYX 772
19471,PEUGEOT,Autre,1,KW 0793
19471,FIAT,Autre,0,B50 JMU
19483,RENAULT,Autre,1,297886
19483,GM,Autre,0,561 OWE
19493,GM,Autre,1,DHH-8351
19493,HYUNDAI,Autre,0,MAZ52
19513,ALFA ROMEO,Autre,0,730 9QU
19526,FORD,Autre,1,091823
19531,VOLKSWAGEN,Rouge,1,EZR 040
19542,MAZDA,Autre,1,W67 YRS
19542,TOYOTA,Autre,1,512 GXK
19547,NISSAN,Autre,1,CSCR 068
19547,GM,Autre,1,D10 CYW
19547,GM,Autre,0,J61 NGN
19565,VOLKSWAGEN,Autre,1,FXC 840
19565,MITSUBISHI,Autre,1,894 742
19571,HONDA,Autre,1,RD 2888
19580,PEUGEOT,Autre,0,BPP95
19595,PEUGEOT,Autre,1,FHT 052
19595,PEUGEOT,Autre,0,M07 JYY
19595,BMW,Autre,0,363298
19598,NISSAN,Autre,1,FOH 738
19606,HONDA,Autre,1,RVYP 065
19606,SKODA,Autre,0,FL2 11B
19608,MAZDA,Autre,1,Q08 JOF
19608,ROVER,Autre,0,L04 OWZ
19610,SUZUKI,Autre,0,815217
19626,VOLVO,Autre,1,ZEZ 441
19630,VOLKSWAGEN,Autre,1,ECS 301
19630,VOLKSWAGEN,Autre,0,DI 6982
19641,PEUGEOT,Autre,0,MQB 998
19641,SKODA,Autre,0,69 45CE
19644,VOLKSWAGEN,Autre,0,GN 7116
19653,GM,Rouge,1,W50 GLO
19656,FORD,Autre,1,XY 2346
19656,RENAULT,Autre,1,OML 840
19656,GM,Autre,1,348 078
19656,AUDI,Autre,1,GVCJ-371
19656,RENAULT,Autre,0,561 678
19657,VOLKSWAGEN,Autre,0,DZ6 802
19671,BMW,Autre,0,20 93ML
19692,GM,Rouge,0,XR9 16G
19692,Autres,Rouge,0,NLJ 188
19692,MERCEDES-B,Rouge,0,513 4BP
19703,HONDA,Autre,0,PR0 679
19715,MITSUBISHI,Autre,0,NT 1425
19745,BMW,Autre,0,SRI 493
19764,RENAULT,Autre,0,LC0 866
19767,VOLKSWAGEN,Autre,0,04 07MU
19778,FORD,Autre,1,NH 5001
19778,RENAULT,Autre,1,AH1 396
19778,RENAULT,Autre,0,MYM 994
19778,HONDA,Autre,0,DZW 953
19819,NISSAN,Autre,1,389 743
19826,GM,Autre,0,ZB7 767
19835,GM,Autre,1,ONR 119
19835,GM,Autre,0,YR 0313
19836,SEAT,Autre,1,H76 UHN
19847,HONDA,Autre,1,847 7SH
19847,HONDA,Autre,0,08 42IG
19864,RENAULT,Autre,1,YC 6831
19867,GM,Autre,1,419 185
19867,BMW,Autre,0,EPG 018
19873,GM,Autre,1,EZA 198
19875,PEUGEOT,Autre,1,PCI 363
19875,MERCEDES-B,Autre,0,778 QJU
19875,RENAULT,Autre,0,X80 JES
19878,FORD,Autre,1,98 54EB
19890,NISSAN,Autre,1,715 JMS
19890,NISSAN,Autre,0,524 470
19891,VOLKSWAGEN,Autre,1,766 2TB
19893,RENAULT,Autre,1,127 PKV
19893,PEUGEOT,Autre,0,72 66DI
19895,LADA,Autre,1,RWX 227
19902,SUZUKI,Autre,0,CID 031
19909,SEAT,Autre,1,YLS 313
19914,FORD,Autre,0,VYO 911
19915,HONDA,Autre,1,PWO 763
19915,PEUGEOT,Autre,1,932 QBP
19919,TOYOTA,Autre,0,SIH 374
19924,FORD,Autre,1,532598
19924,DAIHATSU,Autre,0,JYJ 347
19925,FIAT,Autre,1,RSX 110
19929,MITSUBISHI,Autre,1,OUBQ 270
19929,HONDA,Autre,1,TQ8 267
19929,VOLKSWAGEN,Autre,1,H69 AUW
19929,RENAULT,Autre,1,994 WHF
19936,FIAT,Rouge,1,530 EIE
19961,ALFA ROMEO,Autre,0,TOE-9931
19997,HONDA,Autre,1,MNE 355
19997,FORD,Autre,1,RT2 451
20016,MITSUBISHI,Autre,1,660 4HB
20019,ROVER,Autre,0,ZDQ 439
20019,PEUGEOT,Autre,0,219762
20033,FIAT,Autre,1,O50 TKX
20036,RENAULT,Autre,0,586 139
20036,FIAT,Autre,0,PK4 62J
20045,AUDI,Autre,0,SXU 592
20045,VOLVO,Autre,0,GVHV-041
20060,TOYOTA,Autre,1,U84 IBP
20068,TOYOTA,Autre,1,LJQ 944
20068,GM,Autre,1,CGU 306
20073,SKODA,Autre,1,SL 7011
20078,RENAULT,Autre,1,TB 6552
20081,FORD,Autre,0,728 113
20093,HONDA,Autre,1,IC8 50I
20093,SKODA,Autre,0,MO8 92A
20114,SUZUKI,Autre,0,505 0TG
20115,VOLKSWAGEN,Autre,1,951 995
20134,HONDA,Autre,1,197 TGC
20134,GM,Autre,1,334539
20143,FIAT,Autre,1,701502
20155,TOYOTA,Autre,1,YM 9254
20163,TOYOTA,Autre,1,GIC 632
20167,TOYOTA,Autre,1,GVBD-144
20167,TOYOTA,Autre,0,395 XXK
20177,GM,Autre,0,GBVC 245
20177,MITSUBISHI,Autre,0,VVA 268
20188,PEUGEOT,Autre,1,UFLR 364
20199,NISSAN,Autre,0,428034
20205,GM,Autre,1,IS 8632
20208,BMW,Autre,0,OZH-0248
20228,RENAULT,Autre,1,819 EBU
20237,SEAT,Autre,0,35 76GL
20237,NISSAN,Autre,0,388 4LT
20237,GM,Autre,1,PV 6002
20241,ALFA ROMEO,Autre,0,OAB 362
20250,ALFA ROMEO,Autre,1,57 52WX
20276,RENAULT,Autre,0,VW9 247
20277,MERCEDES-B,Autre,0,KHJ 293
20278,BMW,Autre,0,VGZ 591
20278,LANCIA,Autre,0,OVEX 305
20302,TOYOTA,Autre,0,YKK 388
20305,HONDA,Autre,0,HHK-6606
20308,VOLKSWAGEN,Autre,1,058 SIS
20332,ROVER,Autre,0,XM4 34G
20359,PEUGEOT,Autre,1,10 85RC
20371,PEUGEOT,Autre,0,922776
20375,BMW,Autre,0,348 GYG
20375,VOLKSWAGEN,Autre,0,585 EFI
20381,BMW,Autre,1,767 6OD
20382,VOLKSWAGEN,Autre,1,APLW 430
20396,AUDI,Autre,1,GVRN-167
20396,RENAULT,Autre,0,RWW 337
20397,BMW,Autre,1,570 9TW
20397,RENAULT,Autre,1,911 MAL
20397,MERCEDES-B,Autre,1,477 FGE
20410,SUZUKI,Autre,1,664 405
20410,PEUGEOT,Autre,1,373 156
20412,BMW,Autre,0,838 7HS
20414,RENAULT,Autre,0,KNU 345
20439,RENAULT,Autre,1,TQ6 089
20439,RENAULT,Autre,0,CAEJ 127
20440,HONDA,Autre,0,522210
20441,MITSUBISHI,Rouge,1,OBS06
20448,SUZUKI,Autre,1,220 8KL
20487,SEAT,Autre,1,MLD 459
20497,SUZUKI,Autre,1,965 4EH
20497,SUZUKI,Autre,0,ZBY48
20499,NISSAN,Autre,1,741 UUA
20504,MERCEDES-B,Autre,0,111 859
20504,BMW,Autre,0,OHC 789
20525,TOYOTA,Autre,0,TVS 640
20528,RENAULT,Autre,1,BOZ 270
20529,HONDA,Autre,0,UI 6778
20533,FORD,Autre,1,IVK90
20533,FORD,Autre,0,VJB 172
20535,VOLKSWAGEN,Autre,1,SR6 83F
20545,TOYOTA,Autre,1,790 132
20545,MAZDA,Autre,1,29 87MS
20572,GM,Rouge,1,TI 7634
20572,GM,Rouge,0,174 8FC
20573,GM,Autre,1,473714
20573,HONDA,Autre,0,LZY 745
20585,HONDA,Autre,1,Y91 VZE
20586,NISSAN,Autre,1,QBY 318
20589,MAZDA,Autre,1,EU5 10Z
20589,HONDA,Autre,1,UOP 019
20589,HONDA,Autre,0,NWE 181
20596,VOLKSWAGEN,Autre,1,652 MGF
20612,VOLKSWAGEN,Autre,0,315210
20658,GM,Autre,0,74 35XE
20664,ALFA ROMEO,Autre,1,LW 8101
20674,PEUGEOT,Rouge,0,LV9 48X
20685,HYUNDAI,Autre,1,RC 6385
20717,VOLVO,Autre,0,831 EMH
20730,BMW,Autre,0,GVPL-922
20730,VOLKSWAGEN,Autre,0,VE3 60W
20739,RENAULT,Autre,1,UOL 707
20739,Autres,Autre,1,JYYT 088
20741,SAAB,Autre,0,ROU 670
20772,FORD,Autre,1,UXV-6146
20772,FORD,Autre,0,UQC 816
20772,GM,Autre,0,031 SSD
20772,DAEWOO,Autre,0,TNJ56
20776,HONDA,Autre,1,GVUI-924
20787,TOYOTA,Autre,1,WMR17
20789,HONDA,Autre,1,GVYR-607
20798,PEUGEOT,Autre,1,ZPQ 181
20798,PEUGEOT,Autre,0,TX9 56K
20799,FIAT,Autre,1,BMS21
20811,MITSUBISHI,Autre,1,070739
20834,SUBARU,Autre,1,XFMW 677
20858,FORD,Autre,0,DOH 592
20859,VOLKSWAGEN,Autre,0,USA 418
20864,BMW,Autre,1,TQA 213
20864,FORD,Autre,1,310 LOF
20864,HONDA,Autre,1,GVAK-399
20865,GM,Autre,1,94 64XK
20885,PEUGEOT,Autre,1,WIWI 040
20890,TOYOTA,Autre,0,WCM 825
20897,HONDA,Autre,0,PWM 003
20902,AUDI,Autre,1,X74 AIZ
20926,PEUGEOT,Autre,0,VH5 55A
20928,HYUNDAI,Autre,0,WLLM 015
20980,FORD,Autre,1,XUT-0206
20993,HONDA,Autre,0,LP 1351
20998,HONDA,Autre,1,507 VJE
21002,LANCIA,Autre,0,282 573
21002,RENAULT,Autre,0,EZI 975
21024,RENAULT,Autre,1,974 238
21025,GM,Autre,0,BXI 189
21038,RENAULT,Autre,1,808 1LE
21041,NISSAN,Autre,0,944 NTC
21041,AUDI,Autre,1,GVOD-492
21052,BMW,Autre,0,R21 VXS
21052,NISSAN,Autre,0,MQX 295
21067,TOYOTA,Autre,1,KBA 002
21067,HONDA,Autre,1,079 1CT
21078,AUDI,Autre,0,ZN 9051
21081,AUDI,Autre,0,BUP 816
21081,VOLKSWAGEN,Autre,0,076 213
21086,NISSAN,Autre,0,KSZO 892
21092,MITSUBISHI,Autre,1,ZZOC 789
21095,AUDI,Autre,1,500559
21095,VOLKSWAGEN,Autre,1,QTX-1566
21095,PEUGEOT,Autre,1,IBZ 275
21102,HONDA,Autre,1,MR4 96M
21102,HONDA,Autre,0,220455
21104,AUDI,Rouge,0,PAO10
21125,HONDA,Autre,1,LJ7 75S
21153,HONDA,Autre,1,PA 3454
21158,FIAT,Autre,1,II5 198
21158,GM,Autre,0,06 61ZZ
21160,VOLKSWAGEN,Autre,0,413 SXK
21161,ALFA ROMEO,Rouge,1,GHN59
21164,PEUGEOT,Autre,1,934 4RB
21164,HONDA,Autre,1,011 261
21167,HONDA,Autre,0,LP3 14P
21171,VOLKSWAGEN,Rouge,1,38 24EE
21173,FORD,Autre,0,93 23GZ
21173,PEUGEOT,Autre,0,ZDB 807
21176,FIAT,Autre,1,UD1 782
21176,BMW,Autre,0,GVGK-106
21184,HONDA,Autre,1,WB9 25T
21190,HONDA,Autre,1,JPQ-9522
21196,CHRYSLER,Autre,0,XNY 253
21198,Autres,Autre,1,138 8DC
21198,RENAULT,Autre,1,BI 9728
21198,BMW,Autre,1,KZ1 49S
21203,MAZDA,Autre,1,AC 1506
21203,NISSAN,Autre,1,348 102
21205,MERCEDES-B,Autre,1,OMA 648
21214,GM,Autre,0,EH 3488
21219,RENAULT,Autre,1,658 5LN
21219,Autres,Autre,1,BZ 2409
21219,HONDA,Autre,1,TUL19
21220,NISSAN,Autre,1,477 AKQ
21224,RENAULT,Autre,1,GVVF-365
21247,TOYOTA,Autre,1,HYB 454
21259,PEUGEOT,Autre,0,235 VFP
21262,ROVER,Autre,0,BY3 83S
21268,BMW,Autre,0,353 717
21283,HONDA,Autre,1,LM7 216
21287,CHRYSLER,Autre,0,51 61EQ
21301,VOLKSWAGEN,Autre,0,JOT 931
21301,FORD,Autre,0,959 294
21302,MITSUBISHI,Autre,0,YEQB 173
21304,TOYOTA,Autre,1,MM7 62Y
21305,NISSAN,Autre,1,492 732
21309,VOLKSWAGEN,Autre,0,IW6 49V
21312,MAZDA,Autre,1,OWK 309
21312,TOYOTA,Autre,0,949 NHR
21312,NISSAN,Autre,0,OZR 483
21315,MITSUBISHI,Autre,1,IPC 726
21315,MITSUBISHI,Autre,0,GVRS-604
21319,ALFA ROMEO,Autre,0,VCR 981
21323,AUDI,Autre,1,ZE9 24A
21325,GM,Autre,0,AL9 38Y
21325,SUZUKI,Autre,0,71 56EU
21335,RENAULT,Autre,0,26 33PF
21336,VOLKSWAGEN,Autre,0,MU9 68D
21336,RENAULT,Autre,0,MLAQ 482
21355,MAZDA,Autre,1,VCI 080
21364,TOYOTA,Autre,1,26 97UQ
21365,NISSAN,Autre,0,QQ0 38D
21372,NISSAN,Autre,1,193 950
21372,MITSUBISHI,Autre,1,438 649
21372,TOYOTA,Autre,1,UHZ08
21376,FIAT,Autre,1,XBF 771
21376,RENAULT,Autre,1,UE3 849
21376,FORD,Autre,1,ZN9 50E
21377,PEUGEOT,Autre,1,495 CYX
21377,RENAULT,Autre,0,ZEE42
21377,HONDA,Autre,0,567 GDG
21379,FORD,Autre,1,037 027
21388,AUDI,Autre,0,510 394
21391,TOYOTA,Autre,1,TS5 04W
21391,FORD,Autre,1,GLK 603
21393,VOLKSWAGEN,Autre,0,Z31 PJX
21404,MERCEDES-B,Autre,1,RKH 370
21404,CHRYSLER,Autre,1,GAUI 602
21404,RENAULT,Autre,1,461 ZPL
21404,VOLKSWAGEN,Autre,1,FJH 347
21404,BMW,Autre,1,234862
21414,AUDI,Autre,1,470 319
21414,FORD,Autre,1,Y81 CSF
21414,GM,Autre,1,BA 4342
21426,GM,Autre,0,065 465
21430,VOLKSWAGEN,Autre,1,372179
21438,MERCEDES-B,Autre,1,02 85HP
21440,PEUGEOT,Autre,1,XEU14
21447,FIAT,Autre,0,ILM 242
21448,VOLKSWAGEN,Autre,0,LZ 3288
21450,RENAULT,Autre,1,451 JVB
21450,SEAT,Autre,0,EV0 54N
21455,MAZDA,Autre,0,NG 3102
21455,MITSUBISHI,Autre,0,MFF-6601
21456,AUDI,Autre,0,ZKA 150
21464,Autres,Autre,1,GVLX-277
21464,ROVER,Autre,1,EOY 237
21464,PEUGEOT,Autre,1,GVXU-581
21470,AUDI,Autre,0,GVWH-541
21476,TOYOTA,Autre,0,XYB 009
21480,FORD,Autre,1,RHM-7174
21492,RENAULT,Autre,1,UXE-9166
21492,HONDA,Autre,0,LPE 686
21498,GM,Autre,1,473 803
21506,FORD,Autre,0,PD2 65X
21506,MERCEDES-B,Autre,0,IEH 938
21508,TOYOTA,Autre,0,RJ 0477
21510,DAIHATSU,Autre,1,ZKQ80
21510,HONDA,Autre,0,SD6 452
21511,VOLKSWAGEN,Autre,1,WIK 960
21515,RENAULT,Autre,1,146 NTB
21519,ROVER,Autre,0,NN 4977
21528,MAZDA,Autre,1,APA 764
21546,AUDI,Autre,0,WS9 13Y
21547,FORD,Autre,1,GVHQ-595
21547,GM,Autre,1,RFL 057
21548,PEUGEOT,Autre,1,NAP 965
21548,VOLKSWAGEN,Autre,0,MO9 617
21551,AUDI,Autre,0,ZK 1158
21586,RENAULT,Rouge,1,37 55NW
21592,FORD,Autre,0,J44 YWQ
21596,FORD,Autre,1,PRWL 772
21613,NISSAN,Autre,1,U03 HLG
21613,SUZUKI,Autre,1,280 431
21613,FORD,Autre,0,UM 4058
21613,TOYOTA,Autre,0,941 6TM
21621,HONDA,Autre,0,64 22EP
21627,VOLKSWAGEN,Autre,1,TDND 945
21629,HONDA,Autre,1,HSH 056
21640,VOLKSWAGEN,Autre,0,TRR 094
21643,GM,Autre,1,20 78GP
21643,TOYOTA,Autre,0,IAK43
21648,MAZDA,Autre,0,GVRR-690
21673,VOLKSWAGEN,Autre,0,OHJ-8687
21675,VOLKSWAGEN,Autre,0,38 40XT
21689,MITSUBISHI,Autre,1,PNU 976
21693,MERCEDES-B,Autre,0,JV 7742
21714,VOLKSWAGEN,Autre,0,ZW 5764
21715,FIAT,Autre,1,SYPW 662
21715,DAEWOO,Autre,1,IVC 826
21720,SEAT,Autre,0,LTY-7820
21720,PEUGEOT,Autre,0,38 77UU
21737,MERCEDES-B,Autre,0,58 91OV
21742,VOLKSWAGEN,Autre,0,ST 5161
21752,SEAT,Autre,1,KAI 487
21759,BMW,Autre,0,CUD91
21761,TOYOTA,Autre,0,LWU-2816
21764,BMW,Autre,0,RV4 294
21781,VOLKSWAGEN,Autre,0,052 XCF
21784,AUDI,Autre,0,BA 1865
21785,HONDA,Autre,0,QAG 290
21788,RENAULT,Autre,1,JA2 578
21788,PEUGEOT,Autre,0,KWC-0144
21795,GM,Rouge,1,GH9 781
21803,FIAT,Autre,1,951 6BB
21803,FORD,Autre,1,JS3 285
21804,VOLKSWAGEN,Autre,0,MA 2010
21817,MAZDA,Autre,0,248 1VR
21817,RENAULT,Autre,0,CK4 671
21828,GM,Autre,1,HYI 425
21828,SUZUKI,Autre,1,134 LIN
21830,AUDI,Autre,1,HTG 721
21830,BMW,Autre,0,XCA-3684
21843,MERCEDES-B,Autre,0,BFP 856
21844,PEUGEOT,Autre,1,FFS 445
21862,FORD,Autre,0,RS9 909
21875,FORD,Autre,1,D06 XOB
21879,BMW,Autre,0,MBHW 079
21879,GM,Autre,0,MKQF 368
21883,VOLKSWAGEN,Autre,1,623 804
21886,GM,Autre,0,YL 1429
21887,VOLKSWAGEN,Autre,1,MUN 497
21887,FIAT,Autre,0,WYU30
21889,FORD,Autre,0,YSI 644
21899,ALFA ROMEO,Autre,1,992012
21901,RENAULT,Autre,1,LP6 91B
21918,NISSAN,Autre,1,190 174
21938,GM,Autre,0,HQ5 556
21942,MITSUBISHI,Autre,0,IIB 652
21947,SEAT,Autre,0,845 QQB
21949,VOLKSWAGEN,Autre,0,EOE 772
21958,TOYOTA,Autre,1,GVYI-425
21993,MITSUBISHI,Autre,1,666084
21994,SEAT,Autre,0,561 HGX
21996,RENAULT,Autre,1,582 DTJ
21996,CHRYSLER,Autre,1,78 93OL
22013,HONDA,Autre,0,00 86LF
22020,VOLKSWAGEN,Autre,0,UWM 357
22020,BMW,Autre,0,W09 UTW
22020,PEUGEOT,Autre,0,GLB 967
22025,FORD,Autre,1,PHK 462
22031,HONDA,Autre,1,GYD 020
22032,VOLKSWAGEN,Autre,1,302 DES
22044,AUDI,Autre,1,HQS-7754
22044,RENAULT,Autre,1,908 ZXG
22044,RENAULT,Autre,0,ILF 008
22044,HONDA,Autre,0,PIX 886
22045,MITSUBISHI,Rouge,1,CWX 807
22056,PEUGEOT,Autre,1,65 94CR
22056,FORD,Autre,1,VOOK 718
22062,RENAULT,Autre,1,042 6CD
22062,GM,Autre,0,400 6UY
22062,NISSAN,Autre,1,UZR 511
22063,VOLKSWAGEN,Autre,1,506889
22063,PEUGEOT,Autre,1,LD 4699
22064,AUDI,Rouge,1,IBH 960
22066,BMW,Rouge,0,STG 770
22070,NISSAN,Autre,1,01 49XX
22076,FORD,Autre,1,GVVQ-007
22076,VOLKSWAGEN,Autre,0,174 3FW
22078,VOLKSWAGEN,Autre,0,PIJ 211
22098,HONDA,Autre,0,KPX 445
22112,HONDA,Autre,1,CWU 333
22112,FORD,Autre,1,TKJ 926
22115,RENAULT,Autre,1,134 9ML
22115,PEUGEOT,Autre,0,ZG7 54A
22121,GM,Autre,1,287766
22122,SAAB,Autre,0,SR1 277
22126,NISSAN,Autre,1,316 697
22133,FORD,Autre,1,639918
22136,GM,Autre,0,927 0HF
22137,HONDA,Autre,1,QQZJ 164
22137,PEUGEOT,Autre,0,HSFQ 504
22142,VOLKSWAGEN,Autre,0,539 ZGL
22154,VOLKSWAGEN,Autre,0,IXO 071
22164,AUDI,Autre,1,KJF 145
22164,MAZDA,Autre,1,968 RFW
22164,GM,Autre,1,421 8PK
22176,FORD,Autre,1,XZZ39
22176,RENAULT,Autre,1,EXN 270
22181,MAZDA,Autre,0,FDP 595
22186,TOYOTA,Autre,1,BK9 10J
22186,GM,Autre,1,372 3MN
22187,Autres,Autre,0,65 34UH
22187,DAEWOO,Autre,0,EFS-2401
22189,TOYOTA,Autre,1,XWQ 393
22189,TOYOTA,Autre,0,GI 2299
22193,HONDA,Autre,1,GIG 614
22193,PEUGEOT,Autre,1,311 BJN
22213,VOLKSWAGEN,Autre,1,LRJ42
22214,LANCIA,Autre,1,GVFL-118
22214,LANCIA,Autre,0,TM 5474
22214,MERCEDES-B,Autre,0,937212
22218,TOYOTA,Autre,0,KF9 97D
22219,RENAULT,Autre,1,GVVZ-289
22219,RENAULT,Autre,0,VAP 351
22221,VOLKSWAGEN,Autre,0,RC1 749
22221,SEAT,Autre,0,38 98QW
22227,GM,Autre,0,SU 2633
22238,MERCEDES-B,Autre,1,OPN 623
